STAID,Cluster_H_7,WD_BASIN,SNOW_PCT_PRECIP,NO200AVE,NO10AVE,CONTACT,RUNAVE7100,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_NOV_MM,WB5100_ANN_MM
1013500,3,136.4,36.9,54.53,70.25,244.8,604.1,113.7,76,40,446.2
1022500,3,119.2,38.2,41.5,72.61,115.5,760,151.3,99.4,65.7,642.3
1030500,3,127.1,37.2,53.03,70.81,523.6,646.3,132.5,83.5,52,525.9
1031500,3,131.3,39.3,52.18,73.27,138,738.5,139,123.9,61.7,641.7
1046000,3,130.2,39,52.79,73.29,160.8,679.2,138.3,139.7,64.2,699.4
1047000,3,131.5,39.4,43.67,74.49,82.5,675.1,139.2,132.8,63.1,693.3
1052500,3,155.7,39.3,49.67,71.18,43.4,667.2,129.6,153.1,57,733
1054200,3,142.4,39,41.88,74.12,15.5,719.3,141.7,132.2,72.6,742
1054300,3,139.3,37.7,34.86,72.23,71.2,717.9,137.7,115.2,62.6,638.9
1055000,3,136.9,39.4,44.64,74.08,23.9,717.7,136.3,140.1,63.2,703.6
1057000,3,123.2,36.2,32.81,70.53,25.3,717,126.4,82.1,54.2,542.2
1073000,4,110.7,30.4,39.27,77.52,39.6,613,90.8,51.1,44.7,495.3
1078000,3,122.3,33.3,31.2,69.48,23.3,768.8,126.9,76.1,55.3,557.2
1086000,3,119.4,33.1,34.09,70.84,32,564.7,125.7,73,54.9,572.2
1091000,3,110.6,32.4,33.59,71.23,41,550.2,116.6,67,56.3,581.5
1117800,4,116.5,26,32.72,69.34,40.3,699.4,82.6,49.3,57.3,640.5
1118300,5,115.7,24.3,36.52,71.84,62.7,699.2,76.2,45.8,53.6,628.4
1121000,5,115.8,26.8,37.63,72.36,34.9,675,84.2,50.7,55.4,596.8
1123000,4,115,26.6,36.16,71.52,51.5,675.6,82.8,49.3,54.6,603.4
1130000,3,142.7,37.1,36.43,71.07,25.9,672.9,134,124.6,58.8,669.2
1134500,3,151.4,34.9,44.7,77.05,87.3,642.9,133.8,101,54.4,602.1
1137500,3,162.2,43.3,40.62,72.5,16.6,674.5,146.4,194.3,86.7,1103.7
1139000,3,133.9,33,46.84,81.01,33.3,568.1,113.8,72.3,47.5,487.4
1139800,3,130.8,34,46.27,81.21,18.1,567.7,127.1,81.1,50,529.8
1142500,3,127,33.7,48.7,80.27,42,641.8,118.7,73.3,45.8,488
1144000,3,128.7,35.3,46.38,78.73,24.2,641.6,131.6,90.9,51.8,563.9
1150900,3,140.3,38.3,45.95,75.99,19.9,695.1,163.5,163.7,76.3,859.3
1154000,3,125,35.7,42.69,72.24,20.7,724.5,147.4,98.1,60.5,641.5
1162500,5,109.1,31,31.04,69.86,107.9,639.5,112.5,65.8,53.6,565.8
1169000,3,130.7,34.3,44.85,74.51,47.3,862,153.6,104,69.6,723.1
1170100,3,129.1,34.3,43.76,74.35,33.7,852.3,152.7,104.1,68.9,716.9
1181000,3,116,31.8,43.93,74.85,58.4,710.4,144.3,89.3,71.2,718.1
1187300,5,118.4,31.9,42.32,74.13,81,697.3,144.6,91.3,72.7,739.5
1188000,4,113.1,27.9,33.26,69.62,34,697,111.8,68.7,70.9,717.7
1193500,5,110.7,25.2,37.66,72.42,34.5,679.1,81.8,50.4,57.7,625.4
1194000,5,111.8,24.9,37.56,72.16,33.5,679,80.7,49.7,57.6,642.6
1194500,5,111.9,25,36.73,71.64,37.7,680,83.4,51.4,59.6,656.2
1195100,5,108.6,23.8,38.53,73.02,39,723,71.3,45,50.6,606.4
1198000,4,129.4,28.1,42.72,62.41,59.9,653.3,101.7,60.3,52.5,561.1
1208950,5,107.2,20,33.11,69.38,58.4,621,61,37.8,40.9,536.1
1208990,5,107.9,23,37.25,72.01,36.2,619.2,79.1,47.4,58.6,637.8
1333000,4,130.2,31.1,44.11,65.64,18.4,710.6,135,85.4,67.5,678.2
1350000,5,122.5,33.4,36.33,51.41,51.9,472.7,137.8,102.4,63.9,671.9
1350080,4,125,30.8,37.98,54.61,79.4,473,110.9,68.4,48.1,515.2
1350140,5,130.7,27.5,42.68,57.65,80.1,476.2,96,57,46.2,496.1
1365000,4,123.8,30.2,35.39,47.14,32.5,572.5,141.8,98.7,74.3,758.3
1409810,3,103.7,15,20.19,87.35,122.9,594.2,44.1,24.5,26.9,453.8
1411300,3,100,13.3,27.83,84.36,169.9,511,38.2,21.8,24.1,415.9
1413500,4,124.8,31.2,36.97,50.58,45.6,495.2,123.2,83.9,56.9,596.4
1414000,5,125.3,28.5,37.38,50.52,42.5,496,98.3,60.1,48.1,497.6
1414500,4,123.8,33.8,36.82,49.45,53.3,496,153,126.3,74.2,775.5
1415000,5,130.3,28.4,37.56,51.22,43.2,496,102.8,63.3,51.8,527.2
1422500,5,131,29,37.43,50.77,47.5,496,106.3,65.7,52,536.8
1423000,4,138.3,28.7,36.89,51.98,56.3,496.9,105.7,64.8,53.1,542.5
1434025,3,129.5,36.6,35.1,46.57,21.8,634.4,176.6,166.4,88.9,957.8
1439500,5,120.3,26.6,42.41,63.62,241.3,636.7,91.9,56.3,49.3,559.9
1440000,4,110.8,23.7,37.84,60.7,121.6,636,74.5,46.7,44.9,524.9
1440400,4,122.6,26.4,43,61.82,213.5,636.4,94.7,57.8,53.9,591.6
1451800,5,109.6,21,38.96,54.2,89.4,722.4,66.1,40.3,45.8,538.2
1466500,1,105,15,18.28,88.44,66.8,559.5,44.7,25.6,29.2,462.6
1484100,4,104,11,27.6,91.63,464.8,434,37,22,24,412.9
1485000,4,103.1,9,27.13,90.45,804.7,439,37.2,21.9,21.7,427
1485500,5,104.2,8.9,28.21,89.86,297.3,438.5,35.1,21.8,21.7,413.3
1486000,4,97.9,9,33.71,91.44,370.5,439,34,21,23,405
1487000,4,103,10.8,33.37,89.07,469.5,435,36.4,21.8,23.3,408.5
1490000,4,100.4,9,34.22,87.62,390,435,32.6,21,19,371.5
1491000,5,103.7,11.1,34.78,88.4,935.6,434.8,36.7,22.5,21.6,397.5
1493500,3,103.2,12,55.64,92.53,646,491,38.3,25.4,19.4,394.5
1502500,4,143.6,27,44.41,60.18,142.7,573.9,86.5,53,46,477.7
1510000,4,146.8,28.9,46.8,60.45,115.3,580,106.7,65.6,49.3,515.5
1516500,5,111.8,26.4,46.26,61.78,119.3,380,77.5,49.6,36.9,420.6
1518862,5,133.9,27.1,45.82,60.09,71,381.8,68.1,46.4,30.3,365.4
1532000,5,116.1,25.6,44.58,61.05,139.8,506.6,73.8,46.8,36.1,417.7
1539000,5,117.5,23.5,44.26,61.5,85,572.4,75.8,48.6,45.6,501.6
1542810,5,155.6,26,48.3,65.48,9.2,609.4,83.9,56.2,46.2,504.4
1543000,5,153.8,26.1,47.71,64.47,18.6,609.4,83.8,55.8,45.6,505.9
1543500,5,151.5,25.4,48.32,65.55,25.1,609.6,79.3,52.4,41.7,487.3
1544500,5,137.8,26.4,47.26,66.46,16,589.3,79,51.6,38.6,451.6
1545600,5,133.8,26.2,39.36,60.72,12.6,588.5,79.1,52.2,40.1,462.8
1547700,5,129,21.9,40.85,57.67,17.5,562,52.5,34.6,28.1,377.7
1548500,4,129.4,26.6,45.38,60.61,60.9,548,71.9,47.5,32.8,393.3
1549500,5,116.1,27,43.57,60.16,92.3,553.3,79.7,51.1,38,432.8
1550000,5,116.4,26.2,44.06,58.37,76.1,636.5,76.1,48.1,39,435.6
1552000,5,121.7,26.5,42.83,59.98,115,635.9,85.6,53.6,47.9,502.4
1552500,5,126.7,27.9,43.25,60.45,79.9,637.2,117.5,74.9,65.5,652.2
1557500,4,132.5,23.1,39.67,57.75,22.4,508.6,67.8,43.2,33.6,446.5
1566000,5,112.5,18.8,41.79,57.95,50.1,452.3,47.3,29.3,23.5,378
1567500,4,109.2,18,47.54,60.36,118.5,537.5,46,28.5,22.7,368.5
1568000,4,108.6,18,41.39,59.61,55.2,540.3,47.8,29.9,24.4,387
1580000,3,109.6,15.5,55.97,78.29,89.5,461.4,48.2,29.9,29.9,440.6
1583500,4,108.4,13.9,55.16,76.42,86.3,371,46.4,29.5,25.5,433
1586610,4,102.5,14.7,49.06,71.09,95.6,373.1,44.5,29.5,23.1,407.1
1591400,4,100.2,13.6,57.86,79.7,160.3,374.9,44,28.9,23,409.1
1594950,5,161,25,45.98,62.25,22,526.1,104,70,52,724.9
